barristan selmy, Season 6, Episode 1, 0
barristan selmy, Season 6, Episode 2, 0
barristan selmy, Season 6, Episode 3, 0
barristan selmy, Season 6, Episode 4, 0
barristan selmy, Season 6, Episode 5, 0
barristan selmy, Season 6, Episode 6, 0
barristan selmy, Season 6, Episode 7, 0
barristan selmy, Season 6, Episode 8, 0
barristan selmy, Season 6, Episode 9, 0
barristan selmy, Season 6, Episode 10, 0
barristan selmy, Season 7, Episode 1, 0
barristan selmy, Season 7, Episode 2, 0
barristan selmy, Season 7, Episode 3, 0
barristan selmy, Season 7, Episode 4, 0
barristan selmy, Season 7, Episode 5, 0
barristan selmy, Season 7, Episode 6, 0
barristan selmy, Season 7, Episode 7, 0
barristan selmy, Season 8, Episode 1, 0
barristan selmy, Season 8, Episode 2, 0
barristan selmy, Season 8, Episode 3, 0
barristan selmy, Season 8, Episode 4, 0
barristan selmy, Season 8, Episode 5, 0
barristan selmy, Season 8, Episode 6, 0
benjen stark, Season 1, Episode 1, 0
benjen stark, Season 1, Episode 2, 2
benjen stark, Season 1, Episode 3, 11
benjen stark, Season 1, Episode 4, 0
benjen stark, Season 1, Episode 5, 0
benjen stark, Season 1, Episode 6, 0
benjen stark, Season 1, Episode 7, 0
benjen stark, Season 1, Episode 8, 0
benjen stark, Season 1, Episode 9, 0
benjen stark, Season 1, Episode 10, 0
benjen stark, Season 2, Episode 1, 0
benjen stark, Season 2, Episode 2, 0
benjen stark, Season 2, Episode 3, 0
benjen stark, Season 2, Episode 4, 0
benjen stark, Season 2, Episode 5, 0
benjen stark, Season 2, Episode 6, 0
benjen stark, Season 2, Episode 7, 0
benjen stark, Season 2, Episode 8, 0
benjen stark, Season 2, Episode 9, 0
benjen stark, Season 2, Episode 10, 0
benjen stark, Season 3, Episode 1, 0
benjen stark, Season 3, Episode 2, 0
benjen stark, Season 3, Episode 3, 0
benjen stark, Season 3, Episode 4, 0
benjen stark, Season 3, Episode 5, 0
benjen stark, Season 3, Episode 6, 0
benjen stark, Season 3, Episode 7, 0
benjen stark, Season 3, Episode 8, 0
benjen stark, Season 3, Episode 9, 0
benjen stark, Season 3, Episode 10, 0
benjen stark, Season 4, Episode 1, 0
benjen stark, Season 4, Episode 2, 0
benjen stark, Season 4, Episode 3, 0
benjen stark, Season 4, Episode 4, 0
benjen stark, Season 4, Episode 5, 0
benjen stark, Season 4, Episode 6, 0
benjen stark, Season 4, Episode 7, 0
benjen stark, Season 4, Episode 8, 0
benjen stark, Season 4, Episode 9, 0
benjen stark, Season 4, Episode 10, 0
benjen stark, Season 5, Episode 1, 0
benjen stark, Season 5, Episode 2, 0
benjen stark, Season 5, Episode 3, 0
benjen stark, Season 5, Episode 4, 0
benjen stark, Season 5, Episode 5, 0
benjen stark, Season 5, Episode 6, 0
benjen stark, Season 5, Episode 7, 0
benjen stark, Season 5, Episode 8, 0
benjen stark, Season 5, Episode 9, 0
benjen stark, Season 5, Episode 10, 0
benjen stark, Season 6, Episode 1, 0
benjen stark, Season 6, Episode 2, 0
benjen stark, Season 6, Episode 3, 0
benjen stark, Season 6, Episode 4, 0
benjen stark, Season 6, Episode 5, 0
benjen stark, Season 6, Episode 6, 0
benjen stark, Season 6, Episode 7, 0
benjen stark, Season 6, Episode 8, 0
benjen stark, Season 6, Episode 9, 0
benjen stark, Season 6, Episode 10, 0
benjen stark, Season 7, Episode 1, 0
benjen stark, Season 7, Episode 2, 0
benjen stark, Season 7, Episode 3, 0
benjen stark, Season 7, Episode 4, 0
benjen stark, Season 7, Episode 5, 0
benjen stark, Season 7, Episode 6, 0
benjen stark, Season 7, Episode 7, 0
benjen stark, Season 8, Episode 1, 0
benjen stark, Season 8, Episode 2, 0
benjen stark, Season 8, Episode 3, 0
benjen stark, Season 8, Episode 4, 0
benjen stark, Season 8, Episode 5, 0
benjen stark, Season 8, Episode 6, 0
beric dondarrion, Season 1, Episode 1, 0
beric dondarrion, Season 1, Episode 2, 0
beric dondarrion, Season 1, Episode 3, 0
beric dondarrion, Season 1, Episode 4, 0
beric dondarrion, Season 1, Episode 5, 0
beric dondarrion, Season 1, Episode 6, 1
beric dondarrion, Season 1, Episode 7, 0
beric dondarrion, Season 1, Episode 8, 0
beric dondarrion, Season 1, Episode 9, 0
beric dondarrion, Season 1, Episode 10, 0
beric dondarrion, Season 2, Episode 1, 0
beric dondarrion, Season 2, Episode 2, 0
beric dondarrion, Season 2, Episode 3, 0
beric dondarrion, Season 2, Episode 4, 0
beric dondarrion, Season 2, Episode 5, 0
beric dondarrion, Season 2, Episode 6, 0
beric dondarrion, Season 2, Episode 7, 0
beric dondarrion, Season 2, Episode 8, 0
beric dondarrion, Season 2, Episode 9, 0
beric dondarrion, Season 2, Episode 10, 0
beric dondarrion, Season 3, Episode 1, 0
beric dondarrion, Season 3, Episode 2, 0
beric dondarrion, Season 3, Episode 3, 0
beric dondarrion, Season 3, Episode 4, 0
beric dondarrion, Season 3, Episode 5, 0
beric dondarrion, Season 3, Episode 6, 0
beric dondarrion, Season 3, Episode 7, 0
beric dondarrion, Season 3, Episode 8, 0
beric dondarrion, Season 3, Episode 9, 0
beric dondarrion, Season 3, Episode 10, 0
beric dondarrion, Season 4, Episode 1, 0
beric dondarrion, Season 4, Episode 2, 0
beric dondarrion, Season 4, Episode 3, 0
beric dondarrion, Season 4, Episode 4, 0
beric dondarrion, Season 4, Episode 5, 0
beric dondarrion, Season 4, Episode 6, 0
beric dondarrion, Season 4, Episode 7, 0
beric dondarrion, Season 4, Episode 8, 0
beric dondarrion, Season 4, Episode 9, 0
beric dondarrion, Season 4, Episode 10, 0
beric dondarrion, Season 5, Episode 1, 0
beric dondarrion, Season 5, Episode 2, 0
beric dondarrion, Season 5, Episode 3, 0
beric dondarrion, Season 5, Episode 4, 0
beric dondarrion, Season 5, Episode 5, 0
beric dondarrion, Season 5, Episode 6, 0
beric dondarrion, Season 5, Episode 7, 0
beric dondarrion, Season 5, Episode 8, 0
beric dondarrion, Season 5, Episode 9, 0
beric dondarrion, Season 5, Episode 10, 0
beric dondarrion, Season 6, Episode 1, 0
beric dondarrion, Season 6, Episode 2, 0
beric dondarrion, Season 6, Episode 3, 0
beric dondarrion, Season 6, Episode 4, 0
beric dondarrion, Season 6, Episode 5, 0
beric dondarrion, Season 6, Episode 6, 0
beric dondarrion, Season 6, Episode 7, 0
beric dondarrion, Season 6, Episode 8, 0
beric dondarrion, Season 6, Episode 9, 0
beric dondarrion, Season 6, Episode 10, 0
beric dondarrion, Season 7, Episode 1, 0
beric dondarrion, Season 7, Episode 2, 0
beric dondarrion, Season 7, Episode 3, 0
beric dondarrion, Season 7, Episode 4, 0
beric dondarrion, Season 7, Episode 5, 0
beric dondarrion, Season 7, Episode 6, 0
beric dondarrion, Season 7, Episode 7, 0
beric dondarrion, Season 8, Episode 1, 0
beric dondarrion, Season 8, Episode 2, 0
beric dondarrion, Season 8, Episode 3, 0
beric dondarrion, Season 8, Episode 4, 0
beric dondarrion, Season 8, Episode 5, 0
beric dondarrion, Season 8, Episode 6, 0
bran stark, Season 1, Episode 1, 14
bran stark, Season 1, Episode 2, 0
bran stark, Season 1, Episode 3, 5
bran stark, Season 1, Episode 4, 6
bran stark, Season 1, Episode 5, 21
bran stark, Season 1, Episode 6, 8
bran stark, Season 1, Episode 7, 0
bran stark, Season 1, Episode 8, 0
bran stark, Season 1, Episode 9, 0
bran stark, Season 1, Episode 10, 8
bran stark, Season 2, Episode 1, 8
bran stark, Season 2, Episode 2, 0
bran stark, Season 2, Episode 3, 4
bran stark, Season 2, Episode 4, 0
bran stark, Season 2, Episode 5, 14
bran stark, Season 2, Episode 6, 19
bran stark, Season 2, Episode 7, 5
bran stark, Season 2, Episode 8, 0
bran stark, Season 2, Episode 9, 0
bran stark, Season 2, Episode 10, 4
bran stark, Season 3, Episode 1, 0
bran stark, Season 3, Episode 2, 22
bran stark, Season 3, Episode 3, 0
bran stark, Season 3, Episode 4, 4
bran stark, Season 3, Episode 5, 0
bran stark, Season 3, Episode 6, 8
bran stark, Season 3, Episode 7, 4
bran stark, Season 3, Episode 8, 0
bran stark, Season 3, Episode 9, 30
bran stark, Season 3, Episode 10, 17
bran stark, Season 4, Episode 1, 0
bran stark, Season 4, Episode 2, 5
bran stark, Season 4, Episode 3, 0
bran stark, Season 4, Episode 4, 10
bran stark, Season 4, Episode 5, 20
bran stark, Season 4, Episode 6, 0
bran stark, Season 4, Episode 7, 0
bran stark, Season 4, Episode 8, 0
bran stark, Season 4, Episode 9, 0
bran stark, Season 4, Episode 10, 7
bran stark, Season 5, Episode 1, 0
bran stark, Season 5, Episode 2, 0
bran stark, Season 5, Episode 3, 0
bran stark, Season 5, Episode 4, 0
bran stark, Season 5, Episode 5, 0
bran stark, Season 5, Episode 6, 0
bran stark, Season 5, Episode 7, 8
bran stark, Season 5, Episode 8, 0
bran stark, Season 5, Episode 9, 0
bran stark, Season 5, Episode 10, 0
bran stark, Season 6, Episode 1, 0
bran stark, Season 6, Episode 2, 16
bran stark, Season 6, Episode 3, 17
bran stark, Season 6, Episode 4, 0
bran stark, Season 6, Episode 5, 9
bran stark, Season 6, Episode 6, 6
bran stark, Season 6, Episode 7, 0
bran stark, Season 6, Episode 8, 0
bran stark, Season 6, Episode 9, 0
bran stark, Season 6, Episode 10, 2
bran stark, Season 7, Episode 1, 1
bran stark, Season 7, Episode 2, 0
bran stark, Season 7, Episode 3, 9
bran stark, Season 7, Episode 4, 27
bran stark, Season 7, Episode 5, 2
bran stark, Season 7, Episode 6, 0
bran stark, Season 7, Episode 7, 17
bran stark, Season 8, Episode 1, 5
bran stark, Season 8, Episode 2, 17
bran stark, Season 8, Episode 3, 5
bran stark, Season 8, Episode 4, 4
bran stark, Season 8, Episode 5, 0
bran stark, Season 8, Episode 6, 11
bronn, Season 1, Episode 1, 0
bronn, Season 1, Episode 2, 0
bronn, Season 1, Episode 3, 0
bronn, Season 1, Episode 4, 1
bronn, Season 1, Episode 5, 2
bronn, Season 1, Episode 6, 2
bronn, Season 1, Episode 7, 0
bronn, Season 1, Episode 8, 1
bronn, Season 1, Episode 9, 27
bronn, Season 1, Episode 10, 0
bronn, Season 2, Episode 1, 1
bronn, Season 2, Episode 2, 3
bronn, Season 2, Episode 3, 2
bronn, Season 2, Episode 4, 3
bronn, Season 2, Episode 5, 13
bronn, Season 2, Episode 6, 0
bronn, Season 2, Episode 7, 0
bronn, Season 2, Episode 8, 14
bronn, Season 2, Episode 9, 22
bronn, Season 2, Episode 10, 0
bronn, Season 3, Episode 1, 18
bronn, Season 3, Episode 2, 0
bronn, Season 3, Episode 3, 19
bronn, Season 3, Episode 4, 0
bronn, Season 3, Episode 5, 0
bronn, Season 3, Episode 6, 0
bronn, Season 3, Episode 7, 8
bronn, Season 3, Episode 8, 0
bronn, Season 3, Episode 9, 0
bronn, Season 3, Episode 10, 0
bronn, Season 4, Episode 1, 12
bronn, Season 4, Episode 2, 13
bronn, Season 4, Episode 3, 0
bronn, Season 4, Episode 4, 9
bronn, Season 4, Episode 5, 1
bronn, Season 4, Episode 6, 0
bronn, Season 4, Episode 7, 22
bronn, Season 4, Episode 8, 0
bronn, Season 4, Episode 9, 0
bronn, Season 4, Episode 10, 0
bronn, Season 5, Episode 1, 0
bronn, Season 5, Episode 2, 18
bronn, Season 5, Episode 3, 0
bronn, Season 5, Episode 4, 37
bronn, Season 5, Episode 5, 0
bronn, Season 5, Episode 6, 11
bronn, Season 5, Episode 7, 14
bronn, Season 5, Episode 8, 0
bronn, Season 5, Episode 9, 5
bronn, Season 5, Episode 10, 2
bronn, Season 6, Episode 1, 0
bronn, Season 6, Episode 2, 0
bronn, Season 6, Episode 3, 0
bronn, Season 6, Episode 4, 0
bronn, Season 6, Episode 5, 0
